Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,2177.669922,2206.739990,2175.459961,2195.320068,2195.320068,6077700
2020-10-19,2195.949951,2215.100098,2186.969971,2193.149902,2193.149902,3113700
2020-10-20,2191.080078,2209.090088,2177.280029,2194.110107,2194.110107,3845700
2020-10-21,2194.110107,2204.290039,2169.060059,2175.040039,2175.040039,4130800
2020-10-22,2175.040039,2175.040039,2143.320068,2166.409912,2166.409912,4166700
2020-10-23,2167.949951,2205.629883,2165.659912,2193.739990,2193.739990,3806000
2020-10-27,2193.610107,2193.610107,2113.800049,2114.129883,2114.129883,7431900
2020-10-28,2109.060059,2109.060059,2023.160034,2053.379883,2053.379883,7987500
2020-10-29,2052.360107,2055.510010,1999.229980,2034.189941,2034.189941,7371100
2020-10-30,2033.979980,2057.479980,1993.479980,2054.959961,2054.959961,5658900
2020-11-02,2058.149902,2096.189941,2058.149902,2083.879883,2083.879883,5151400
2020-11-03,2085.110107,2153.340088,2085.110107,2144.629883,2144.629883,5969600
2020-11-04,2144.469971,2164.560059,2111.199951,2146.510010,2146.510010,5177500
2020-11-05,2146.510010,2199.429932,2146.510010,2175.830078,2175.830078,6000700
2020-11-06,2175.719971,2188.669922,2151.780029,2153.229980,2153.229980,4581400
2020-11-09,2154.040039,2340.580078,2154.040039,2316.969971,2316.969971,10741300
2020-11-10,2322.679932,2396.419922,2322.679932,2396.419922,2396.419922,10436600
2020-11-11,2400.919922,2413.149902,2379.050049,2406.300049,2406.300049,6444300
2020-11-12,2406.189941,2406.189941,2356.199951,2390.580078,2390.580078,6211200
2020-11-13,2390.510010,2419.320068,2366.340088,2410.270020,2410.270020,5542200
2020-11-16,2410.969971,2505.959961,2393.939941,2483.840088,2483.840088,7740800
2020-11-17,2485.679932,2498.300049,2460.209961,2498.300049,2498.300049,4302800
2020-11-18,2498.300049,2514.360107,2478.969971,2511.290039,2511.290039,4486200
2020-11-19,2503.590088,2509.570068,2477.540039,2502.969971,2502.969971,5042300
2020-11-20,2502.800049,2525.260010,2497.229980,2502.669922,2502.669922,3691400
2020-11-23,2502.979980,2550.379883,2502.860107,2526.389893,2526.389893,4378300
2020-11-24,2527.050049,2573.520020,2527.050049,2570.399902,2570.399902,5136000
2020-11-25,2572.659912,2603.570068,2565.580078,2585.060059,2585.060059,5472900
2020-11-26,2585.320068,2591.419922,2567.560059,2578.899902,2578.899902,4047700
2020-11-27,2579.189941,2613.020020,2572.280029,2598.959961,2598.959961,4816000
2020-11-30,2596.919922,2596.919922,2553.030029,2553.780029,2553.780029,13381300
2020-12-01,2556.229980,2608.260010,2555.959961,2605.399902,2605.399902,4681000
2020-12-02,2600.300049,2610.110107,2591.939941,2607.600098,2607.600098,5316500
2020-12-03,2606.530029,2621.229980,2582.899902,2614.810059,2614.810059,6176400
2020-12-04,2614.689941,2656.989990,2609.610107,2656.620117,2656.620117,4943300
2020-12-07,2658.439941,2658.439941,2631.120117,2642.649902,2642.649902,3791700
2020-12-08,2641.629883,2644.360107,2623.429932,2635.409912,2635.409912,2752000
2020-12-09,2637.750000,2688.179932,2635.489990,2669.979980,2669.979980,4962800
2020-12-10,2671.620117,2679.520020,2620.979980,2653.560059,2653.560059,4859700
2020-12-11,2652.050049,2653.750000,2598.340088,2632.169922,2632.169922,4925600
2020-12-14,2632.399902,2685.850098,2632.399902,2657.919922,2657.919922,5454700
2020-12-15,2657.879883,2707.649902,2648.639893,2697.870117,2697.870117,5066400
2020-12-16,2697.439941,2736.479980,2697.439941,2721.669922,2721.669922,4835700
2020-12-17,2722.659912,2738.469971,2709.889893,2723.919922,2723.919922,4649500
2020-12-18,2722.580078,2746.439941,2700.729980,2713.689941,2713.689941,10095100
2020-12-21,2713.060059,2713.169922,2585.600098,2656.929932,2656.929932,6160300
2020-12-22,2656.570068,2714.409912,2656.570068,2707.520020,2707.520020,3356800
2020-12-23,2711.840088,2737.120117,2706.060059,2737.120117,2737.120117,3057200
2020-12-28,2739.389893,2772.739990,2739.389893,2761.709961,2761.709961,2964300
2020-12-29,2761.870117,2785.909912,2761.510010,2778.229980,2778.229980,3600700
2020-12-30,2777.689941,2800.189941,2775.219971,2780.439941,2780.439941,2867800
2021-01-04,2780.530029,2835.500000,2780.530029,2792.340088,2792.340088,4454200
2021-01-05,2792.020020,2810.570068,2778.399902,2799.699951,2799.699951,4284400
2021-01-06,2799.989990,2883.330078,2799.989990,2873.120117,2873.120117,4436600
2021-01-07,2873.459961,2951.139893,2872.439941,2947.770020,2947.770020,5217900
2021-01-08,2947.979980,2967.219971,2933.729980,2941.750000,2941.750000,4256200
2021-01-11,2941.919922,2970.560059,2934.389893,2942.439941,2942.439941,6076200
2021-01-12,2943.020020,2970.469971,2940.280029,2964.179932,2964.179932,4054800
2021-01-13,2964.179932,2981.379883,2949.379883,2966.330078,2966.330078,3814600
2021-01-14,2966.570068,2998.750000,2962.379883,2993.419922,2993.419922,3730500
2021-01-15,2993.459961,2997.120117,2926.189941,2947.959961,2947.959961,4637000
2021-01-18,2948.120117,2994.590088,2887.350098,2989.870117,2989.870117,4265900
2021-01-19,2990.719971,3024.439941,2990.719971,3002.260010,3002.260010,4089000
2021-01-20,3002.870117,3032.010010,3002.870117,3026.590088,3026.590088,3767800
2021-01-21,3029.449951,3059.459961,3020.459961,3024.209961,3024.209961,4352500
2021-01-22,3023.959961,3024.110107,2977.520020,3002.260010,3002.260010,4026800
2021-01-25,3002.739990,3029.699951,2927.360107,2934.969971,2934.969971,5121900
2021-01-26,2934.850098,2986.300049,2916.219971,2949.260010,2949.260010,4518800
2021-01-27,2949.679932,2952.320068,2863.570068,2909.959961,2909.959961,5453800
2021-01-28,2909.840088,2930.350098,2819.489990,2908.540039,2908.540039,5039400
2021-01-29,2908.320068,2912.030029,2846.290039,2887.729980,2887.729980,5210500
2021-02-01,2888.040039,2940.270020,2887.830078,2931.149902,2931.149902,3921500
2021-02-02,2931.149902,2978.510010,2930.330078,2958.719971,2958.719971,4299500
2021-02-03,2959.020020,2997.800049,2959.020020,2972.850098,2972.850098,3823100
2021-02-04,2977.540039,3019.050049,2973.860107,2990.790039,2990.790039,4527900
2021-02-05,2990.679932,3021.330078,2988.899902,3015.139893,3015.139893,3997200
2021-02-08,3015.949951,3045.620117,3014.810059,3021.139893,3021.139893,4178900
2021-02-09,3021.000000,3027.459961,2976.340088,2999.629883,2999.629883,4487800
2021-02-10,3005.639893,3020.810059,2981.860107,2999.850098,2999.850098,3602300
2021-02-11,2998.689941,3013.179932,2975.149902,2983.129883,2983.129883,3426800
2021-02-12,2983.129883,2992.780029,2938.070068,2962.709961,2962.709961,3871900
2021-02-15,2960.719971,3020.919922,2960.719971,3014.780029,3014.780029,3692200
2021-02-16,3014.580078,3044.330078,3008.989990,3023.469971,3023.469971,3592300
2021-02-17,3020.919922,3034.500000,3006.379883,3021.439941,3021.439941,4042100
2021-02-18,3024.250000,3034.040039,2968.129883,2977.580078,2977.580078,4304200
2021-02-19,2979.290039,3019.449951,2963.300049,3005.090088,3005.090088,3597200
2021-02-22,3005.800049,3011.830078,2977.419922,3008.959961,3008.959961,3136200
2021-02-23,3007.780029,3040.360107,2967.209961,3039.429932,3039.429932,4736200
2021-02-24,3039.459961,3073.830078,3031.500000,3070.459961,3070.459961,4558800
2021-02-25,3071.060059,3097.649902,3064.320068,3071.919922,3071.919922,3991000
2021-02-26,3071.750000,3071.750000,2994.540039,3011.570068,3011.570068,6461400
2021-03-01,3016.719971,3078.540039,3016.639893,3076.929932,3076.929932,3566400
2021-03-02,3074.300049,3095.639893,3062.520020,3085.979980,3085.979980,3414100
2021-03-03,3086.979980,3133.750000,3077.399902,3093.790039,3093.790039,4279200
2021-03-04,3087.969971,3088.219971,3046.899902,3084.790039,3084.790039,4380400
2021-03-05,3084.010010,3119.909912,3051.810059,3082.500000,3082.500000,4570900
2021-03-08,3082.669922,3140.780029,3082.010010,3132.580078,3132.580078,4397400
2021-03-09,3133.010010,3148.429932,3116.620117,3133.260010,3133.260010,3766400
2021-03-10,3133.260010,3157.100098,3122.550049,3133.760010,3133.760010,4348500
2021-03-11,3135.709961,3147.610107,3120.919922,3147.610107,3147.610107,3950000
2021-03-12,3147.280029,3159.280029,3133.040039,3158.360107,3158.360107,3145300
2021-03-15,3158.610107,3181.760010,3144.830078,3165.020020,3165.020020,3527900
2021-03-16,3165.189941,3184.060059,3158.520020,3176.989990,3176.989990,4196800
2021-03-17,3177.310059,3177.360107,3130.120117,3153.330078,3153.330078,45300
2021-03-18,3153.439941,3183.340088,3145.060059,3165.020020,3165.020020,5307100
2021-03-19,3164.300049,3164.300049,3094.280029,3125.350098,3125.350098,18539000
